payment_id,created_at,invoice_id,amount,payment_method,processor,processor_txn_id,status,notes
PAY-1001-1768799809106,2026-01-19T05:16:49.106Z,1001,10,Credit Card,Stripe,pi_3SrA3fGv7pFIE6Ke0XFZp4yd,Completed,Online payment via Stripe. Fee: $0.59. Net: $9.41
PAY-1002-1768833399737,2026-01-19T14:36:39.737Z,1002,3675,Credit Card,Stripe,pi_3SrJZEGv7pFIE6Ke1fgeQrgF,Completed,Online payment via Stripe. Invoice: $3675.00. Fee paid by customer: $106.88. Total charged: $3781.88
