MEDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Material,material_key,material_type,material_subtype,finish,dropdown_field,Roll Cost,Width (ft),Length (ft),Total Sqft,Cost per Linear ft,cost_sqft,mark_up,archived,material_thickness,category_material_keys,FULL_WRAP,PARTIAL_WRAP,COLOR_CHANGE_PARTIAL,COLOR_CHANGE_FULL,VAN_INSERTS,CAST_LET_GRAPH,CAST_GRAPH_BULK,CAL_LET_GRAPH,KISS_CUT,DIE_CUT,SHEET_LABELS,CORO_PLAST,MAX_METAL,FOAM_CORE,PPF,CHROME_DELETE,WINDOW_PERF,SIGNAGE,SIGN_BOARDS,WITH_FRAME,INSERT_ONLY,BANNERS,BANNER_STAND,LABELS,MAGNETS,WALL_GRAPHICS,VERTICAL_FLUTE,HORIZONTAL_FLUTE,FLAT_EMB,CAP_EMB,TRANSFER_BY_SIZE,GANG_SHEET
"Briteline 2203 60""",BRITELINE_2203_60,MEDIA,CALENDARED,,media,$185.59,5,150,750,$1.24,$0.25,$1.24,FALSE,,KISS_CUT|DIE_CUT|SHEET_LABELS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Briteline 3205 Clear 54""",BRITELINE_3205_54,MEDIA,CALENDARED,,media,$231.00,4.5,150,675,$1.54,$0.34,$1.71,FALSE,,KISS_CUT|DIE_CUT|SHEET_LABELS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Oracal 651 30""",ORACAL_651_30,MEDIA,CALENDARED,,media,$170.68,2.5,150,375,$1.14,$0.46,$2.28,FALSE,,SIGNAGE|SIGN_BOARDS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Briteline Carpet Film IM3211,BRITELINE_CARPET_FILM_IM3211,MEDIA,CALENDARED,,media,$338.44,4.5,150,675,$2.26,$0.50,$2.51,FALSE,,SIGNAGE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Briteline 3223 6 Mil 54""",BRITELINE_3223_6_MIL_54,MEDIA,CALENDARED,,media,$186.00,4.5,150,675,$1.24,$0.28,$1.38,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Briteline Holo 30""",BRITELINE_HOLO_30,MEDIA,CALENDARED,,media,$434.74,2.5,75,187.5,$5.80,$2.32,$11.59,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Window Cling 54""",WINDOW_CLING_54,MEDIA,WINDOW_CLING,,media,$311.05,4.5,150,675,$2.07,$0.46,$2.30,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Briteline 50/50 Window Perf 60""",BRITELINE_5050_WINDOW_PERF_60,MEDIA,WINDOW_PERF,,media,$422.30,5,100,500,$4.22,$0.84,$4.22,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Rad Grafix Wall Film 54""",RAD_GRAFIX_WALL_FILM_54,MEDIA,WALL,,media,$312.30,4.5,150,675,$2.08,$0.46,$2.31,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Duratex 13oz Banner 63""",13OZ_BANNER_63,MEDIA,BANNER,,media,$221.17,5.25,164,861,$1.35,$0.26,$1.28,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Duratex 13oz Banner 38""",13OZ_BANNER_38,MEDIA,BANNER,,media,$133.39,3.17,164,519.88,$0.81,$0.26,$1.28,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Briteline Roll Up Film BAN STAND 36""",BRITELINE_BAN_STAND_36,MEDIA,BANNER,,media,$200.89,3,98.42,295.26,$2.04,$0.68,$3.40,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
